index,B1_stim,B1_condition,B1_correct,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim,B2_condition,B2_correct,sig_volume,B1_resp.keys,B1_resp.corr,B1_resp.rt,RT_list,participant,session,date,expName,psychopyVersion,frameRate,
2,Frog,Animals,f,,,,,0,10,10,2,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
1,Catepillar,Animals,f,,,,,0,11,11,1,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
17,Shorts,Nonanimals,j,,,,,0,12,12,17,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
14,Blueberry,Nonanimals,j,,,,,0,13,13,14,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
6,Parrot,Animals,f,,,,,0,14,14,6,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
21,Garlic,Nonanimals,j,,,,,0,15,15,21,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
22,Drill,Nonanimals,j,,,,,0,16,16,22,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
15,Lettuce,Nonanimals,j,,,,,0,17,17,15,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
23,Saw,Nonanimals,j,,,,,0,18,18,23,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
13,Subway,Nonanimals,j,,,,,0,19,19,13,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394, [], [], [], [], [], [], [], [], [], []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
